epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,0.01748434651412528,0.01692086613953972,0.0,0.0,0.971640944480896,0.9854739904403687,0.9604758024215698,0.013055159571757983,0.013872679084583762,0.0,1.0000000000000004e-08,1.0000000000000004e-08,1.0000000000000004e-08
20,0.017622906429755177,0.017041068927529972,0.0,0.0,0.9717175960540771,0.9854933023452759,0.9605157971382141,0.0130236259955425,0.013831909779193146,0.0,1.0000000000000004e-08,1.0000000000000004e-08,1.0000000000000004e-08
21,0.017724682869080438,0.01767030090312411,0.0,0.0,0.9717648029327393,0.9854939579963684,0.960537850856781,0.013042660224961028,0.013720736079405816,0.0,1.0000000000000005e-09,1.0000000000000005e-09,1.0000000000000005e-09
22,0.017590080703802267,0.017245666952630412,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605377316474915,0.013043580806836309,0.013903922296040469,0.0,1.0000000000000005e-09,1.0000000000000005e-09,1.0000000000000005e-09
23,0.017690464537579137,0.017430118442229456,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605377316474915,0.013040539797484166,0.013866353696877403,0.0,1.0000000000000005e-09,1.0000000000000005e-09,1.0000000000000005e-09
24,0.0175910443251746,0.017098361463340976,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605478644371033,0.013050634624613892,0.013888171685504772,0.0,1.0000000000000006e-10,1.0000000000000006e-10,1.0000000000000006e-10
25,0.01784900397267189,0.0174198812304882,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605478644371033,0.013051766669377685,0.01390689472290909,0.0,1.0000000000000006e-10,1.0000000000000006e-10,1.0000000000000006e-10
26,0.017410055206190527,0.017052579537046895,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605478644371033,0.013038950428987542,0.013883152693909193,0.0,1.0000000000000006e-10,1.0000000000000006e-10,1.0000000000000006e-10
27,0.017938971603179987,0.017536232156455292,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605478644371033,0.013002677632140972,0.013920579343989846,0.0,1.0000000000000006e-11,1.0000000000000006e-11,1.0000000000000006e-11
28,0.017647738535368298,0.017479213357613016,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605478644371033,0.013043636666788231,0.013865604802655676,0.0,1.0000000000000006e-11,1.0000000000000006e-11,1.0000000000000006e-11
29,0.01782399641350492,0.01749689793806008,0.0,0.0,0.9717648029327393,0.9854939579963684,0.9605478644371033,0.013032324113217848,0.013949372539562839,0.0,1.0000000000000006e-11,1.0000000000000006e-11,1.0000000000000006e-11
