epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2746.25,0.4126,1.02104,0.89497,0.95975,0.93824,0.96818,0.89592,0.36581,0.96743,0.83655,0.00186436,0.00186436,0.00186436
85,2778.89,0.42104,1.03488,0.90214,0.96546,0.93278,0.96802,0.89168,0.38619,0.97202,0.84389,0.00176634,0.00176634,0.00176634
86,2811.66,0.4306,1.0309,0.90789,0.94837,0.94007,0.96859,0.89563,0.37341,0.93985,0.84216,0.00166832,0.00166832,0.00166832
87,2843.95,0.40719,0.98983,0.90249,0.95912,0.9295,0.96458,0.89056,0.37951,0.96907,0.84265,0.0015703,0.0015703,0.0015703
88,2876.34,0.40486,0.99212,0.90368,0.96458,0.9233,0.96548,0.89324,0.36579,0.92147,0.84293,0.00147228,0.00147228,0.00147228
89,2909.4,0.40667,0.97874,0.90164,0.95315,0.92217,0.9656,0.89258,0.36659,0.93719,0.84106,0.00137426,0.00137426,0.00137426
90,2942.05,0.40648,0.99033,0.89774,0.9578,0.93237,0.96865,0.8989,0.36141,0.9073,0.84098,0.00127624,0.00127624,0.00127624
91,2974.75,0.40493,0.96803,0.89529,0.96962,0.93002,0.9684,0.90104,0.35558,0.89715,0.83657,0.00117822,0.00117822,0.00117822
92,3008.93,0.38239,0.81535,0.87126,0.97248,0.91871,0.96755,0.89909,0.3649,0.94322,0.84071,0.0010802,0.0010802,0.0010802
93,3042.11,0.38162,0.80336,0.86821,0.96842,0.91949,0.96419,0.89494,0.37199,0.95876,0.84049,0.000982178,0.000982178,0.000982178
94,3074.69,0.37488,0.78276,0.86641,0.96742,0.92327,0.96665,0.89721,0.36183,0.92777,0.83751,0.000884158,0.000884158,0.000884158
95,3107.12,0.36845,0.76806,0.86542,0.96833,0.91998,0.96537,0.89464,0.36925,0.92144,0.84135,0.000786139,0.000786139,0.000786139
96,3139.45,0.36816,0.77152,0.86186,0.96916,0.92219,0.96412,0.89599,0.36309,0.94425,0.83915,0.000688119,0.000688119,0.000688119
97,3171.86,0.36579,0.75677,0.85944,0.96364,0.92514,0.96408,0.89362,0.37593,0.96149,0.83976,0.000590099,0.000590099,0.000590099
98,3204.15,0.36307,0.75046,0.86184,0.9638,0.925,0.96391,0.897,0.35966,0.94674,0.83626,0.000492079,0.000492079,0.000492079
99,3236.4,0.35657,0.7492,0.86576,0.95452,0.92371,0.96345,0.89717,0.3671,0.95939,0.83891,0.000394059,0.000394059,0.000394059
100,3268.58,0.35383,0.73397,0.86124,0.9599,0.92623,0.96508,0.89889,0.36668,0.93586,0.83881,0.00029604,0.00029604,0.00029604
101,3300.57,0.35045,0.72636,0.85284,0.96456,0.9226,0.96502,0.89871,0.36071,0.90695,0.83792,0.00019802,0.00019802,0.00019802
